Metro,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour,No Commute (%),Yes Commute (more than 5 minutes) (%),Short Commutes - Less than half-hour (%),Medium Commutes - Half-hour to one hour (%),Long Commutes - More than one hour (%)
Minneapolis,1779099,2015,35355,1743744,1079978,565265,98501,1.98724,98.01276,61.93444,32.41674,5.64882
New York,8022549,2022,161871,7860678,3337481,2878172,1645025,2.0177,97.9823,42.45793,36.61481,20.92727
New York,8296382,2011,151029,8145353,3552997,2930978,1661378,1.82042,98.17958,43.61993,35.98344,20.39664
New York,7057098,2021,146018,6911080,3073828,2551736,1285516,2.06909,97.93091,44.47681,36.92239,18.6008
New York,9033594,2019,123125,8910469,3486800,3369146,2054523,1.36297,98.63703,39.1315,37.8111,23.05741
New York,8458242,2012,143520,8314722,3569484,3047719,1697519,1.69681,98.30319,42.92969,36.65449,20.41582
New York,8888158,2013,146827,8741331,3735438,3203609,1802284,1.65194,98.34806,42.73306,36.64898,20.61796
New York,9258386,2018,134606,9123780,3631830,3397627,2094323,1.45388,98.54612,39.8062,37.23925,22.95455
New York,9082578,2014,158267,8924311,3740145,3302694,1881472,1.74253,98.25747,41.90962,37.00783,21.08255
New York,9382250,2017,143258,9238992,3767449,3360567,2110976,1.5269,98.4731,40.77771,36.37374,22.84855
New York,9186623,2015,136305,9050318,3780918,3302783,1966617,1.48373,98.51627,41.77663,36.49356,21.72981
New York,8317168,2023,149145,8168023,3409091,3045597,1713335,1.79322,98.20678,41.73704,37.28683,20.97613
New York,8249679,2010,143014,8106665,3566986,2922800,1616879,1.73357,98.26643,44.00066,36.05428,19.94506
New York,9192943,2016,133681,9059262,3698374,3353458,2007430,1.45417,98.54583,40.82423,37.0169,22.15887
Orlando,1087825,2016,13936,1073889,572050,420157,81682,1.28109,98.71891,53.26901,39.12481,7.60619
Orlando,1119577,2022,18920,1100657,601613,404966,94078,1.68992,98.31008,54.65944,36.79312,8.54744
Orlando,950262,2011,13589,936673,551644,327138,57891,1.43003,98.56997,58.89398,34.92553,6.18049
Orlando,1031896,2021,14413,1017483,550114,382641,84728,1.39675,98.60325,54.06616,37.60662,8.32722
Orlando,1200416,2019,14664,1185752,586857,485301,113594,1.22158,98.77842,49.49239,40.9277,9.57991
Orlando,966991,2012,11510,955481,556109,331967,67405,1.19029,98.80971,58.20199,34.74344,7.05456
Orlando,991095,2013,14218,976877,556789,357824,62264,1.43457,98.56543,56.99684,36.62938,6.37378
Orlando,1183801,2018,22253,1161548,611106,458308,92134,1.87979,98.12021,52.61134,39.45666,7.932
Orlando,1008179,2014,11511,996668,551067,376468,69133,1.14176,98.85824,55.29093,37.77266,6.93641
Orlando,1129969,2017,15793,1114176,577919,448350,87907,1.39765,98.60235,51.86963,40.2405,7.88987
Orlando,921988,2010,13393,908595,537846,316951,53798,1.45262,98.54738,59.19535,34.88364,5.92101
Orlando,1071243,2015,12288,1058955,575293,409735,73927,1.14708,98.85292,54.32648,38.69239,6.98113
Orlando,1167007,2023,13865,1153142,602754,449644,100744,1.18808,98.81192,52.27058,38.99294,8.73648
Philadelphia,2750522,2016,54943,2695579,1422925,952924,319730,1.99755,98.00245,52.78736,35.35137,11.86127
Philadelphia,2836136,2019,60159,2775977,1419395,1007802,348780,2.12116,97.87884,51.13137,36.30441,12.56423
Philadelphia,2600131,2011,59740,2540391,1410112,858859,271420,2.29758,97.70242,55.50768,33.80814,10.68418
Philadelphia,2761490,2015,61510,2699980,1434496,951072,314412,2.22742,97.77258,53.12988,35.22515,11.64498
Philadelphia,2684735,2013,60042,2624693,1435474,908076,281143,2.23642,97.76358,54.69112,34.59742,10.71146
Philadelphia,2604278,2023,55782,2548496,1364712,909449,274335,2.14194,97.85806,53.5497,35.68571,10.76458
Philadelphia,2621007,2010,58214,2562793,1418017,873414,271362,2.22105,97.77895,55.33092,34.08055,10.58853
Philadelphia,2287095,2021,60682,2226413,1258746,778110,189557,2.65323,97.34677,56.53695,34.94904,8.51401
Philadelphia,2808466,2018,50923,2757543,1424460,999386,333697,1.8132,98.1868,51.65686,36.2419,12.10124
Philadelphia,2629000,2012,62516,2566484,1418495,883091,264898,2.37794,97.62206,55.26997,34.40859,10.32144
Philadelphia,2761221,2017,53545,2707676,1404793,976008,326875,1.93918,98.06082,51.88187,36.04597,12.07216
Philadelphia,2730097,2014,60951,2669146,1449917,922603,296626,2.23256,97.76744,54.32138,34.56548,11.11314
Philadelphia,2544979,2022,57404,2487575,1372621,863805,251149,2.25558,97.74442,55.17908,34.72478,10.09614
Phoenix,2100531,2018,39431,2061100,1230506,670958,159636,1.87719,98.12281,59.70142,32.55339,7.74518
Phoenix,1788231,2013,37586,1750645,1052023,587913,110709,2.10185,97.89815,60.09345,33.58265,6.3239
Phoenix,1920473,2015,37718,1882755,1129972,622344,130439,1.964,98.036,60.01694,33.05496,6.92809
Phoenix,1671473,2010,34271,1637202,968424,568915,99863,2.05035,97.94965,59.15116,34.74922,6.09961
Phoenix,1771920,2012,36884,1735036,1031914,597535,105587,2.08158,97.91842,59.47508,34.43934,6.08558
Phoenix,2156635,2019,41306,2115329,1203940,724549,186840,1.9153,98.0847,56.91502,34.25231,8.83267
Phoenix,1787166,2021,49067,1738099,1068965,558950,110184,2.74552,97.25448,61.50196,32.1587,6.33934
Phoenix,1712701,2011,33006,1679695,1001611,573063,105021,1.92713,98.07287,59.63053,34.11709,6.25239
Phoenix,1913284,2022,43643,1869641,1128245,629870,111526,2.28105,97.71895,60.34554,33.68936,5.9651
Phoenix,1850458,2014,36341,1814117,1104765,604837,104515,1.96389,98.03611,60.89822,33.34057,5.76121
Phoenix,2035158,2017,37765,1997393,1173900,674763,148730,1.85563,98.14437,58.77161,33.78219,7.44621
Phoenix,2004889,2023,45898,1958991,1158561,663549,136881,2.2893,97.7107,59.1407,33.87198,6.98732
Phoenix,1969362,2016,45085,1924277,1147664,626686,149927,2.28932,97.71068,59.64131,32.56735,7.79134
"Pittsburgh,",1046303,2011,32638,1013665,618288,315937,79440,3.11936,96.88064,60.9953,31.16779,7.83691
"Pittsburgh,",889849,2021,26024,863825,534459,269524,59842,2.92454,97.07546,61.87121,31.20123,6.92756
"Pittsburgh,",1078307,2015,30810,1047497,622287,338419,86791,2.85726,97.14274,59.40704,32.3074,8.28556
"Pittsburgh,",1078091,2014,28933,1049158,628088,336857,84213,2.68373,97.31627,59.86591,32.10737,8.02672
"Pittsburgh,",1085621,2018,29184,1056437,620340,349137,86960,2.68823,97.31177,58.72002,33.04854,8.23144
"Pittsburgh,",1018500,2023,29707,988793,604484,315104,69205,2.91674,97.08326,61.13352,31.86754,6.99894
"Pittsburgh,",1082263,2017,29742,1052521,607015,354101,91405,2.74813,97.25187,57.67248,33.64313,8.68439
"Pittsburgh,",1076505,2013,30328,1046177,630049,336049,80079,2.81727,97.18273,60.22394,32.12162,7.65444
"Pittsburgh,",956275,2022,29627,926648,557188,300632,68828,3.09817,96.90183,60.12941,32.44296,7.42763
"Pittsburgh,",1077328,2016,31334,1045994,612981,346902,86111,2.90849,97.09151,58.60273,33.16482,8.23246
"Pittsburgh,",1075791,2019,28109,1047682,598451,356922,92309,2.61287,97.38713,57.12144,34.06778,8.81078
"Pittsburgh,",1074950,2012,33502,1041448,623964,330006,87478,3.11661,96.88339,59.91312,31.68723,8.39965
"Pittsburgh,",1041694,2010,35848,1005846,612505,314819,78522,3.44132,96.55868,60.89451,31.29893,7.80656
Riverside,1752109,2016,29548,1722561,912793,498968,310800,1.68642,98.31358,52.99046,28.96664,18.0429
Riverside,1881728,2023,31138,1850590,960818,556235,333537,1.65476,98.34524,51.91955,30.05717,18.02328
Riverside,1883477,2019,30730,1852747,955222,550315,347210,1.63156,98.36844,51.55707,29.70265,18.74028
Riverside,1694146,2021,37601,1656545,877066,500475,279004,2.21947,97.78053,52.9455,30.21198,16.84252
Riverside,1581538,2012,35352,1546186,854538,433041,258607,2.23529,97.76471,55.26748,28.00704,16.72548
Riverside,1542364,2011,34370,1507994,831837,424824,251333,2.2284,97.7716,55.16182,28.17146,16.66671
Riverside,1806328,2017,33174,1773154,951065,513626,308463,1.83654,98.16346,53.63691,28.9668,17.39629
Riverside,1553153,2010,42666,1510487,843697,421621,245169,2.74706,97.25294,55.85596,27.91292,16.23112
Riverside,1858427,2022,38045,1820382,952419,551897,316066,2.04716,97.95284,52.31973,30.31765,17.36262
Riverside,1734404,2015,34207,1700197,938046,469640,292511,1.97226,98.02774,55.17278,27.62268,17.20454
Riverside,1888778,2018,35319,1853459,990022,528840,334597,1.86994,98.13006,53.41483,28.5326,18.05257
Riverside,1617168,2013,35670,1581498,863706,457884,259908,2.20571,97.79429,54.61316,28.95255,16.43429
Riverside,1669146,2014,32660,1636486,887398,478277,270811,1.95669,98.04331,54.22582,29.22585,16.54832
San Antonio,1081096,2017,16100,1064996,655032,336610,73354,1.48923,98.51077,61.50558,31.60669,6.88773
San Antonio,1027594,2015,15386,1012208,617718,323189,71301,1.49728,98.50272,61.02679,31.92911,7.04411
San Antonio,922848,2011,23495,899353,570415,274160,54778,2.54592,97.45408,63.42504,30.48414,6.09082
San Antonio,1158502,2019,22671,1135831,671800,372384,91647,1.95692,98.04308,59.14612,32.78516,8.06872
San Antonio,1090691,2022,22119,1068572,642128,348207,78237,2.02798,97.97202,60.09216,32.5862,7.32164
San Antonio,990802,2013,25254,965548,622901,282593,60054,2.54884,97.45116,64.51269,29.26763,6.21968
San Antonio,1114952,2023,21128,1093824,641699,365028,87097,1.89497,98.10503,58.66565,33.37173,7.96262
San Antonio,1019269,2014,20727,998542,630391,306891,61260,2.03352,97.96648,63.13115,30.73391,6.13494
San Antonio,1101570,2018,17672,1083898,652886,357853,73159,1.60426,98.39574,60.235,33.01538,6.74962
